metric,value,category
"2030 Reusable, recyclable or compostable (RRC) goal",≥97%,Environmental
Collection of multilayered packaging for Journey to Zero Waste program,"9,000 kg",Environmental
Reusable cups collected for reuse during the Petaluma Reusable Cup Project,"200,000 cups",Environmental
"Improve ownership of waste, recognition and dignity as well as health and hygiene of the waste pickers, professional benefits and growth and entrepreneurship opportunities",Purna Project funded by PepsiCo India,Social
Employees completed learning hours,1.8 million hours,Social
Employee Volunteering,"169,000 hours",Social
PepsiCo's Organizational Health Survey Score,78%,Social
Employee engagement,80%,Social
Employee commitment,76%,Social
Women and men pay,within 1% of each other,Social
"Lost Time Incident Rate (per 200,000 hours worked)",0.49,Social
People reached with safe water since 2010,>96M,Environmental
People reached with nutritious food,>62M,Social
Reduction of added sugars in beverages,67%,Social
Reduction of sodium in convenient foods,77%,Social
Reduction of saturated fat in convenient foods,81%,Social
Number of portions of diverse ingredients delivered in convenient foods,69 billion,Social
2025 sodium reduction goal,>75%,Nutrition
2022 sodium reduction,68%,Nutrition
2023 sodium reduction,72%,Nutrition
2024 sodium reduction,77%,Nutrition
2025 sugar reduction goal,≥67%,Nutrition
2022 sugar reduction,56%,Nutrition
2023 sugar reduction,62%,Nutrition
2024 sugar reduction,67%,Nutrition
2030 sodium reduction goal,≥75%,Nutrition
2023 sodium reduction target,36%,Nutrition
2024 sodium reduction target,44%,Nutrition
Diverse ingredients goal,145 billion portions,Nutrition
2023 Portions of diverse ingredients delivered (billions),68B,Nutrition
2024 Portions of diverse ingredients delivered (billions),69B,Nutrition
Adoption of regenerative agriculture practices,>3.5 million acres,Environmental
Sustainably sourced key ingredients,~66%,Environmental
Progress volumes on key ingredients that face systemic barriers,~1%,Environmental
Deforestation-free sourcing,N/A,Environmental
Deforestation- and conversion-free sourcing,N/A,Environmental
Improved livelihoods in agricultural supply chain,">185,000 people",Social
Reduction in Scope 1 and 2 emissions,18%,Environmental
Reduction in Scope 3 Energy & Industry emissions,12%,Environmental
"Reduction in Scope 3 Forest, Land and Agriculture (FLAG) emissions",7%,Environmental
Renewable electricity in company-owned operations,89%,Environmental
Average water-use efficiency ratio in high water-risk beverages sites (liters/liter),1.7,Environmental
Average water-use efficiency ratio in high water-risk convenient foods sites (liters/kg),2.2,Environmental
Water replenishment at company-owned facilities designated in high water-risk areas,86%,Environmental
Replenishment back into the watershed of water used in high water-risk PepsiCo and franchise bottler manufacturing facilities,75%,Environmental
Number of high water-risk facilities that have fully adopted the AWS Standard,73,Environmental
Number of high water-risk facilities that are in the process of adopting the AWS Standard,28,Environmental
Reduction in absolute tonnage of virgin plastics,5%,Environmental
Recycled content in plastic packaging,15%,Environmental
"Reusable, recyclable, or compostable (RRC) packaging by design",93%,Environmental
Employee learning hours,1.8 million hours,Social
Volunteer hours,"169,000 hours",Social
Pay equity gap for global professional population,within 1%,Social
Lost time incidents,0.49,Social
Safe water access,>96 million,Social
Nutritious food accessible,>62 million,Social
Beverage portfolio volume ≤100 Calories,67%,Social
Convenient foods portfolio volume will not exceed 1.3 milligrams of sodium per Calorie,77%,Social
Convenient foods portfolio volume will not exceed 1.1 grams of saturated fat per 100 Calories,81%,Social
Global convenient foods portfolio volume will meet or be below category sodium targets,44%,Social
Diverse ingredients portions,69 billion portions,Social
