metric,value,category
Waste diversion from landfill/incineration,92%,Environmental
Plastic waste reduction (HQ),150 kg,Environmental
"COD reduction (Cali, Colombia)",42%,Environmental
Zero Waste to Landfill Plants,17,Environmental
Sustainable agriculture (% FSA validation),,Environmental
FSA*-identified deforestation consideration,,Environmental
Regenerative agriculture implementation,,Environmental
Pesticides of Concern use,,Environmental
Integrated Pest Management use,,Environmental
Water risk rating,,Environmental
Site water use intensity,,Environmental
Site wastewater treatment operations,,Environmental
Site Chemical Oxygen Demand (COD) reduction,,Environmental
Non-Government Organization (NGO) engagement,,Social
Customer engagement,,Social
Percentage of Tier 1 priority crops' supply chain validated as having no deforestation,85%,Environmental
Tier 1 crops sustainably sourced,85.75%,Environmental
Waxy corn sustainably sourced,100%,Environmental
FSA Gold status on total sourcing for Thailand,34%,Environmental
Sustainable sourcing of corn in Colombia at FSA Gold level,97%,Environmental
FSA Silver for stevia leaf supply,100%,Environmental
Acres with implemented regenerative practices,74000,Environmental
Reduced blue water usage,6%,Environmental
Reduced carbon footprint,47%,Environmental
Increased consumer preference,5%,Social
Percentage of eggs replaced in muffins with plant protein products,up to 50%,Environmental
Percentage of eggs reduced in dry pasta applications with plant protein products,up to 100%,Environmental
Growth of food collected from 2023 to 2024 at Brazil plants,110%,Social
EcoVadis score,55,ESG
"EcoVadis score (Mogi Guaçu, Brazil)",70,ESG
"EcoVadis score (San Juan del Rio, Mexico)",61,ESG
Rate of completion of training delivered to employees,98%,Social
Safety performance,N/A,Social
Carbon emissions reductions,N/A,Environmental
Sustainable sourcing progress,N/A,Environmental
Honored as one of the World's Most Ethical Companies by Ethisphere Institute,Eleventh time in 2024 (honoring for 2025),Governance
Availability of Business Ethics Line,24/7,Governance
Languages supported by Business Ethics Line,12,Governance
Option for reporting anonymously,Yes,Governance
Sustainability Reports are issued annually,Yes,Environmental
External Assurance,"Data reported in Ingredion's 2024 CDP Corporate Report combined questionnaire is verified by Apex. Additionally, volumes covered by Ingredion's sustainable sourcing program are also reviewed and assured externally by Apex.",Environmental
Collective Bargaining Agreements,Approximately 45% of Ingredion's manufacturing plants have collective bargaining agreements in place.,Social
Code of Conduct Training,All employees are assigned Code of Conduct training annually,Governance
Membership associations,"Ingredion is a member of multiple organizations with a sustainability focus, including the SAI Platform, Field to Market, The Campbell Institute and others.",Environmental
Management of material topics,2024 Sustainability Report,Governance
Direct economic value generated and distributed,2024 Annual Report,Economic Performance
Financial implications and other risks and opportunities due to climate change,"2024 CDP Corporate Report, 2024 Annual Report",Economic Performance
Defined benefit plan obligations and other retirement plans,2024 Annual Report,Economic Performance
Infrastructure investments and services supported,Any such investments are made at the local or regional level and are not collected at this time at the corporate level.,Indirect Economic Impact
Significant indirect economic impacts,This information is not currently collected at the corporate level within Ingredion.,Indirect Economic Impact
Proportion of spending on local suppliers,Ingredion manages this activity at the regional or local level and does not currently have the data to report this at the corporate level.,Procurement Practices
Operations assessed for risks related to corruption,"As part of our risk management processes, Ingredion continually assesses our operations for risks related to corruption, as well as other activities related to compliance with local laws and/or our policies on business conduct.",Anti-Corruption
Communication and training about anti-corruption policies and procedures,"All employees receive ethics training and sign off on Ingredion's Code of Conduct, as well as our company values.",Anti-Corruption
"Legal action for anti-competitive behavior, anti-trust and monopoly practices",There were no legal actions against Ingredion in 2024 for anti-competitive behavior.,Anti-Competitive Behavior
Recycled input materials used,This information is not currently collected at the corporate level.,Materials
Reclaimed products and their packaging material,This information is not currently collected at the corporate level within Ingredion.,Materials
Energy consumption within the organization,2024 CDP Corporate Report,Energy
Energy consumption within the organization,2024 CDP Corporate Report,Energy
Energy intensity,2024 CDP Corporate Report,Energy
Reduction in energy consumption,2024 CDP Corporate Report,Energy
Reduction in energy requirements of products and services,2024 CDP Corporate Report,Energy
Water withdrawal by source,2024 CDP Corporate Report,Water
Water sources significantly impacted by withdrawal of water,"2024 CDP Corporate Report, 2024 Sustainability Report",Water
Water recycled and reused,2024 CDP Corporate Report,Water
Water consumption,2024 CDP Corporate Report,Water
"Operational sites owned, leased, managed in or adjacent to protected areas and areas of high biodiversity value outside protect- ed areas",2024 Sustainability Report,Biodiversity
"Significant impacts of activities, products and services on biodiversity",2024 Sustainability Report,Biodiversity
Habitats protected or restored,2024 Sustainability Report,Biodiversity
IUCN Red List species and national conservation list species with habitats in areas impacted by operations,"Ingredion has assessed our operations against the CEPF global biodiversity hotspot list, as well as the IUCN Red List, with no significant impact to either.",Biodiversity
Direct (Scope 1) GHG emissions,"2024 CDP Climate Change, 2024 Sustainability Report",Emissions
Energy indirect (Scope 2) GHG emissions,"2024 CDP Climate Change, 2024 Sustainability Report",Emissions
Other indirect (Scope 3) GHG emissions,2024 CDP Climate Change,Emissions
GHG emission intensity,2024 CDP Climate Change,Emissions
Reductions of GHG emissions,"2024 CDP Climate Change, 2024 Sustainability Update",Emissions
Emissions of Ozone Depleting Substances (ODS),This information is not currently collected at the corporate level within Ingredion.,Emissions
Waste generation and significant waste-related impacts,2024 Sustainability Report,Waste
Management of significant waste-related impacts,"2024 Sustainability Report, 2024 CDP Corporate Report",Waste
Waste generated,2024 Sustainability Report,Waste
Waste diverted from disposal,2024 Sustainability Report,Waste
Waste directed to disposal,2024 CDP Corporate Report,Waste
New suppliers that were screened using environmental criteria,"2024 Sustainability Report, 2024 CDP Corporate Report, Ingredion All Life Partners Responsible Sourcing Program",Supplier Environmental Assessment
Benefits provided to full-time employees that are not provided to temporary or part-time employees,"Benefits, and their variance between full-time and part-time employees, vary by country and region. These benefits may also be impacted by any collective bargaining agreements that are in place.",Employment
Parental leave,Parental leave varies by country and region and is managed locally in accordance with legal requirements.,Employment
Minimum notice period regarding operational changes,Notice periods across our operations can vary depending on local legal requirements and collective bargaining agreements.,Labor/Management Relations
Occupational health and safety management system has been implemented,"Ingredion's Global Environmental, Health, Safety & Sustainability Policy",Occupational Health and Safety
"Hazard identification, risk assessment and incident investigation","Ingredion's Global Environmental, Health, Safety & Sustainability Policy Ingredion Code of Conduct (retaliation policy)",Occupational Health and Safety
"Worker participation, consultation and communication on occupational health and safety","Ingredion's Global Environmental, Health, Safety & Sustainability Policy Ingredion Code of Conduct",Occupational Health and Safety
Worker training on occupational health and safety,"2024 Sustainability Report; Ingredion's Global Environmental, Health, Safety, & Sustainability Policy",Occupational Health and Safety
Promotion of worker health,"Ingredion supports its employees' wellbeing through programs such as employee assistance programs (EAP), paid time off and a wide variety of health-related benefits.",Occupational Health and Safety
Workers covered by an occupational health and safety management system,"2024 Sustainability Report; Ingredion's Global Environmental, Health, Safety and Sustainability Policy",Occupational Health and Safety
Work-related injuries,Total Recordable Incidence Rates for employees and contractors,Environmental
Average hours of training per employee,"EHS&S, Lean Six Sigma, Code of Conduct (Living our Values) and Cybersecurity tracked at corporate level",Social
Diversity of governance bodies and employees,"25.1% of women in total workforce, 37.1% at manager level and above and 40.0% female representation on Board",Governance
Ratio of basic salary and remuneration of women to men,No systemic issues and no negative pay gap between male and female employees,Social
Freedom of association and collective bargaining,No issues have been identified where collective bargaining rights are at risk.,Social
Operations and suppliers at significant risk for child labor,No instances of child labor were found during on-farm audits in 2024.,Social
Forced or Compulsory Labor,Practices have been put in place to ensure traceability of supply and avoid sourcing of stevia leaf from that area of concern.,Social
Security personnel trained in human rights policies or procedures,"Training resources for Ingredion's Human Rights Policy, Ingredion's Social Accountability Management System, Code of Conduct and company values have been provided across the business.",Social
Incidents of violations involving rights of indigenous people,"Ingredion's internal Social Accountability Management System addresses the rights of indigenous people, as well as processes for obtaining Free, Prior and Informed Consent (FPIC).",Social
"Local community engagement, impact assessments and development programs","Ingredion does not have a centrally coordinated local impact assessment process at this time, however, we do have local operations that have conducted these type of assessments.",Social
New suppliers that were screened using social criteria,"Ingredion launched its All Life Partners Program in 2024, which defines our framework to assess key suppliers through Sedex, SMETA, or similar programs.",Social
Incidents of non-compliance concerning marketing communication,No incidents of marketing non-compliance were identified in 2024.,Social
Substantiated complaints concerning breaches of customer privacy and losses of customer data,Ingredion had no such complaints made by our customers in 2024.,Social
