metric,value,category
REDUCTION IN WATER USE INTENSITY IN PAKISTAN VERSUS THEIR 2019 BASELINE,23%,Environmental
REDUCTION IN WATER USE IN MALAYSIA VERSUS THE 2019 BASELINE,42%,Environmental
Waste Diversion Rate,92%,Environmental
Waste Diversion Rate (2021),74%,Environmental
Zero Waste Definition Threshold,< 0.5% of plant's solid waste going to landfill,Environmental
Number of facilities with Zero Waste status,13,Environmental
Plastic reduction projects completed in 2022,13,Environmental
Estimated plastic eliminated from supply chain,"316,612 kilograms",Environmental
Estimated plastic enabled for recycling,"189,152 kilograms",Environmental
Tier 1 priority crops sustainably sourced,48%,Environmental
Global waxy corn sustainably sourced,99%,Environmental
Usage of integrated pest management globally,57%,Environmental
PureCircle Stevia sustainably sourced (SAI Platform),100%,Environmental
Acres in regenerative agriculture projects (2022),"50,000",Environmental
Target acres under regenerative programs (2023),"100,000",Environmental
Reduction of CO2e based upon calculations from the Cool Farm Tool,27.5%,Environmental
Yield increase versus baseline and check fields,10.3%,Environmental
Additional metric tons of sustainably sourced crops through Thailand SMART Agriculture Program,"130,000",Environmental
Investment in local education in South Africa (last three years),"$120,000 USD",Social
Investment in black women-owned small business in South Africa,"$80,000 USD",Social
Donations from U.S. employees through YourCause,$231K,Social
Matching contributions from Ingredion,$257K,Social
Servings donated to local food banks,"19,000",Social
Children reached by Porridge 4 Education program in Kenya,"5,000",Social
Target children enrollment for  Porridge 4 Education program in Kenya,"455,000",Social
Business Integrity Program,"Strives to deliver the ethics and compliance education, training, and tools that empower all our people to confidently live our values and deliver on Ingredion's purpose to bring the potential of people, nature, and technology together to make life better.",Governance
Code of Conduct,published in 11 languages,Governance
Business Integrity Program,leadership and governance provides oversight of our program,Governance
Governance and Nominating Committee,provides oversight of our corporate governance practices and Business Integrity Program,Governance
Business Integrity,"provided mandatory employee training for improved organizational effectiveness that aims to protect our people, processes, and technology.",Social
Employee Training,"Speaking Up/Non-retaliation, Anti-harassment and Microaggression, Antibribery and Corruption, Code of Conduct, Recognizing and Avoiding Conflicts of Interest",Social
Global Integrity Week,"celebrated how Ingredion embraces and operationalizes our core values in the areas of sustainability, DEI, and ethical business practices.",Social
Business Ethics Line,operated by an independent company and is available to receive confidential reports from anyone within or outside the company.,Governance
ESG Executive Advisory Committee,comprised of six of our executive officers and serves as an oversight group between our Global Sustainability Council and the Board of Directors.,Governance
linking executive compensation to sustainability performance,"direct measurement tied to the company performance in safety performance, carbon emission reductions, sustainable sourcing progress, and Diversity, Equity, and Inclusion (DEI) targets.",ESG
EcoVadis,Ingredion continues to use the EcoVadis platform as a tool for evaluating our sustainability program and its progress,Environmental
Ingredion EcoVadis Rating,Bronze level (2022),Environmental
Ethisphere World's Most Ethical Companies List,honored for the ninth time as one of the World's Most Ethical Companies© by Ethisphere Institute for 2023.,Governance
ESG reporting,reporting against the Global Reporting Initiative (GRI) index and the Taskforce on Climate-related Financial Disclosure (TCFD).,ESG
Cybersecurity and data privacy,Monitoring threats and vulnerabilities.,Governance
No cybersecurity incidents,Ingredion had no cybersecurity incidents impacting our business or compromising customer information in 2022.,Governance
Investment in partnerships,"collaborating with customers and NGOs to implement regenerative agriculture practices on the farms in our supply chain, while also reducing the on-farm carbon emissions that are a major contributor to our Scope 3 emissions.",Environmental
Sustainability Investments,"Invested in a partnership with HowGood, the world's largest product sustainability database that helps us better understand how our products perform against several sustainability attributes",Environmental
MISTA,"Engaging in MISTA, a multi-dimensional innovation platform focused on transforming the global food system to meet the needs of the future",Environmental
All Life plan,Millions invested in 2022 to drive reductions in our carbon emissions and water usage,Environmental
Communication of critical concerns,"Concerns can be communicated by any employee (1) to the executive leadership team directly or through managers, (2) to the corporate Business Integrity Committee directly or through anonymous reporting hotline, or (3) to the Corporate Compliance Officer who communicates independently with the Board of Directors.",Governance
Collective knowledge of the highest governance body,Ingredion Incorporated Governing and Nominating Committee Charter,Governance
Evaluation of the performance of the highest governance body,Ingredion Incorporated Corporate Governance Principles; Ingredion Incorporated Governing and Nominating Committee Charter,Governance
Remuneration policies,2022 Annual Report; Governance (Ingredion website),Governance
Process to determine remuneration,Ingredion Incorporated Compensation Committee Charter,Governance
Annual total compensation ratio,Ingredion 2022 Proxy Statement (p. 25),Governance
Statement on sustainable development strategy,2022 Sustainability Report,Environmental
Policy commitments,Code of Conduct; Our Values (Ingredion website),Governance
Embedding policy commitments,Code of Conduct; Our Values Supplier Code of Conduct (Ingredion website),Governance
Processes to remediate negative impacts,Code of Conduct,Social
Mechanisms for seeking advice and raising concerns,Code of Conduct,Social
Compliance with laws and regulations,"Ingredion discloses fines and non-monetary sanctions as required by the laws and regulations applicable to its operations including, among others, SEC reporting requirements.",Governance
Membership associations,2022 Sustainability Report,Social
Approach to stakeholder engagement,"List of stakeholder groups: 2022 Sustainability Report (various listed throughout) Identifying and selecting stakeholders: Ingredion has conducted an internal stakeholder assessment, which examined the overlap between areas most important to our sustainability strategy and our existing stakeholder engagement. We utilize this assessment to inform where we may solicit additional stakeholder input. Approach to stakeholder engagement: We engage with stakeholders in two ways: (1) as a part of regularly scheduled meetings through organizational membership, and (2) on an as-needed or as-requested basis.",Social
Collective bargaining agreements,45% of Ingredion's manufacturing plants have collective bargaining agreements in place.,Social
Process to determine material topics,2022 Sustainability Report,Environmental
List of material topics,List of material topics: 2022 Sustainability Report; CDP Climate Change and Water reports Changes in reporting: 2022 Sustainability Report,Environmental
Management of material topics,"2022 Sustainability Report (The content of our report is based on those topics most material to our business.) Ingredion has a Global Sustainability Council made up of senior leaders within the organization. This group meets on a regular basis to assess progress against the company's sustainability strategy. Periodic reports are also made to the Executive Leadership Team, as well as the Board Governance and Nominating Committee (GNC), which both assess perfor-mance.",Environmental
Direct economic value generated and distributed,2022 Annual Report,Economic
Financial implications and other risks and opportunities due to climate change,2022 CDP Climate Change,Environmental
Defined benefit plan obligations and other retirement plans,2022 Annual Report,Social
Infrastructure investments and services supported,Any such investments are made at the local or regional level and are not collected at this time at the corporate level.,Economic
Significant indirect economic impacts,This information is not currently collected at the corporate level within Ingredion.,Economic
Proportion of spending on local suppliers,Ingredion manages this activity at the regional or local level and does not currently have the data to report this at the corporate level.,Economic
Operations assessed for risks related to corruption,"As part of our risk management processes, Ingredion continually assesses our operations for risks related to corruption, as well as other activities related to compliance with local laws and/or our policies on business conduct.",Governance
Communication and training about anti-corruption policies and procedures,"All employees receive ethics training and sign-off on Ingredion's Code of Conduct, as well as our company values.",Governance
"Legal action for anti-competitive behavior, anti-trust, and monopoly practices",There were no legal actions against Ingredion in 2022 for anti-competitive behavior.,Governance
Recycled input materials used,This information is not currently collected at the corporate level.,Environmental
Reclaimed products and their packaging material,This information is not currently collected at the corporate level within Ingredion.,Environmental
Energy consumption within the organization,2022 CDP Climate Change,Environmental
Energy consumption outside the organization,2022 CDP Climate Change,Environmental
Energy intensity,2022 CDP Climate Change,Environmental
Reduction of energy consumption,2022 CDP Climate Change,Environmental
Reduction in energy requirements of products and services,2022 CDP Climate Change,Environmental
Water withdrawal by source,2022 CDP Water,Environmental
Water sources significantly impacted by withdrawal of water,2022 CDP Water,Environmental
Water recycled and reused,2022 CDP Water,Environmental
"Operational sites owned, leased, managed in, or adjacent to protected areas and areas of high biodiversity value outside protected areas.",2022 Sustainability Report,Environmental
"Significant impacts of activities, products, and services on biodiversity",2022 Sustainability Report,Environmental
Habitats protected or restored,2022 Sustainability Report,Environmental
IUCN Red List species and national conservation list species with habitats in areas impacted by operations,"Ingredion has assessed our operations against the CEPF global biodiversity hotspot list, as well as the IUCN Red List, with no significant impact to either.",Environmental
Direct (Scope 1) GHG emissions,,Environmental
Energy indirect (Scope 2) GHG emissions,,Environmental
Other indirect (Scope 3) GHG emissions,,Environmental
GHG emission intensity,,Environmental
Reductions of GHG emissions,,Environmental
Water discharge by quality and destination,,Environmental
Water by type and disposal method,,Environmental
Total weight of waste generated,,Environmental
Waste diverted from landfill,,Environmental
Water bodies affected by water discharges and/or runoff,,Environmental
New suppliers that were screened using environmental criteria,,Environmental
Negative environmental impacts in the supply chain,,Environmental
New employee hires and employee turnover,,Social
Benefits provided to full-time employees that are not provided to temporary or part-time employees,,Social
Parental leave,,Social
Workers representation in formal joint management-worker health and safety committees,,Social
"Types of injuries and rates of injury, occupational disease, lost days and absenteeism, and the number of work-related fatalities",,Social
Workers with high incidence or high risk of disease related to their occupation,,Social
Health and safety topics covered in formal agreements with trade unions,,Social
Average hours of training per employee,,Social
Programs for upgrading employees' skills and transition assistance programs,,Social
Diversity of governance bodies and employees,,Social
Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk.,,Social
Operations and suppliers at significant risk for child labor,,Social
Operations and suppliers at significant risk for forced or compulsory labor,,Social
Security personnel trained in human rights policies or procedures,,Social
Incidents of violations involving rights of indigenous people,,Social
Operations that have been subject to human rights reviews or impact assessments,,Social
Employee training on human rights policies or procedures,,Social
Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,,Social
"Operations with local community engagement, impact assessments, and development programs",,Social
New suppliers that were screened using social criteria,,Social
Incidents of non-compliance concerning marketing communication,No incidents of marketing non-compliance were identified in 2022.,Governance
Substantiated complaints concerning breaches of customer privacy and losses of customer data,Ingredion had no such complaints made by our customers,Social
Organization's governance around climate-related risks and opportunities,Describe the organization's governance around climate-related risks and opportunities,Environmental
Management's role in assessing and managing climate-related risks and opportunities,Describe management's role in assessing and managing climate-related risks and opportunities,Environmental
Climate related risks and opportunities,"Describe the climate related risks and opportunities the organization has identified over the short, medium, and long term",Environmental
"Impact of climate-related risks and opportunities on organization's business, strategy, and financial planning","Describe the impact of climate-related risks and opportunities on the organization's business, strategy, and financial planning",Environmental
Resilience of the organization's strategy,"Describe the resilience of the organization's strategy, taking into consideration different climate-related scenarios, including a 2°C or lower scenario",Environmental
Process for identifying and assessing climate-related risks,Describe the organization's process for identifying and assessing climate-related risks,Environmental
Processes for managing climate-related risks,Describe the organization's processes for managing climate-related risks,Environmental
"How processes for identifying, assessing, and managing climate-related risks are integrated into the organization's overall risk management","Describe how processes for identifying, assessing, and managing climate-related risks are integrated into the organization's overall risk management",Environmental
Metrics used to assess climate-related risks and opportunities,Disclose the metrics used by the organization to assess climate-related risks and opportunities in line with its strategy and risk management process,Environmental
"Scope 1, Scope 2 and Scope 3 greenhouse gas emissions","Disclose Scope 1, Scope 2 and, if appropriate, Scope 3 greenhouse gas emissions and the related risks",Environmental
Targets to manage climate-related risks,Describe the targets used by the organization to manage climate-related risks and opportunities and performance against targets,Environmental
Revenues/savings from investments in low-carbon alternatives,Revenues/savings from investments in low-carbon alternatives,Environmental
Total water-withdrawal and total water consumed,Total water-withdrawal and total water consumed,Environmental
Percent of water withdrawn and consumed in regions with high or extremely high baseline water stress,Percent of water withdrawn and consumed in regions with high or extremely high baseline water stress,Environmental
"Purchased energy (Scope 2) emissions from purchased heat, steam, and electricity consumed in company-owned plants","Purchased energy (Scope 2) emissions from purchased heat, steam, and electricity consumed in company-owned plants",Environmental
Number of company-owned production sites in regions with high or extremely high baseline water stress,Number of company-owned production sites in regions with high or extremely high baseline water stress,Environmental
Investments (CapEx) in low carbon/water alternatives,Investments (CapEx) in low carbon/water alternatives,Environmental
