metric,value,category
Scope 2 (Market-Based) GHG Emissions,"2,150,000",Environmental
Scope 2 (Location-Based) GHG Emissions,"2,070,000",Environmental
Biogenic Emissions,"4,350,000",Environmental
Scope 3 GHG Emissions,"114,100,000",Environmental
Renewable Fuel Consumption,"3,340,000",Environmental
Non-renewable Fuel Consumption,"44,800,000",Environmental
Purchased Electricity,"4,840,000",Environmental
Purchased Steam,"562,000",Environmental
Groundwater Withdrawal,"39,500,000",Environmental
Surface Water Withdrawal,"30,600,000",Environmental
Municipal Water Withdrawal,"41,100,000",Environmental
Once-Through Cooling (Surface) Water,"203,000,000",Environmental
Groundwater Discharges,"405,000",Environmental
Surface Water Discharges,"32,900,000",Environmental
Discharge to Treatment,"41,800,000",Environmental
Once-Through-Cooling (Surface) Discharge,"203,000,000",Environmental
Electricity,"4,840,000",Environmental
Diesel Fuel,"1,930,000",Environmental
Steam,"562,000",Environmental
Ethanol,114,Environmental
Biodiesel,"245,000",Environmental
Gasoline,"11,700",Environmental
Biogas,"277,000",Environmental
Jet Fuel,"86,400",Environmental
Biomass (Agricultural),"553,000",Environmental
Kerosene,N/A,Environmental
Biomass (Solid Products),0.3,Environmental
Liquified Petroleum Gas,N/A,Environmental
Biomass (Wood),"2,260,000",Environmental
Lubricants,N/A,Environmental
Biodiesel Blends - B5,"28,200",Environmental
Natural Gas,"18,800,000",Environmental
Biodiesel Blends - B11,"2,150",Environmental
Subbituminous Coal,"16,200,000",Environmental
Biodiesel Blends - B20,"26,900",Environmental
Tires,N/A,Environmental
Bituminous Coal,"7,620,000",Environmental
Residual Fuel Oil,"46,000",Environmental
Vegetable Oil,0.4,Environmental
Groundwater,"39,500,000",Environmental
Municipal,"41,100,000",Environmental
Rain,N/A,Environmental
Surface,"30,600,000",Environmental
Total Recordable Incident Rate,0.69,Social
Lost Days Incident Rate,0.23,Social
GHG Emission Reduction 2019-2024 (Market-based),14.5%,Environmental
Landfill Waste,"118,000",Environmental
Landfill Diversion,88.4%,Environmental
Direct economic value generated and distributed,Pages 10-35,Economic
Communication and training about anti-corruption policies and procedures,Pages 34-35,Governance
Energy consumption within the organization,"Pages 17, 37; CDP Corporate Questionnaire (7.30.9)",Environmental
Energy intensity,"Pages 17, 37; CDP Corporate Questionnaire (7.30.7)",Environmental
Reduction of energy consumption,"Pages 17, 37",Environmental
Interactions with water as a shared resource,Page 18,Environmental
Management of water discharge-related impacts,"Pages 18, 37; CDP Corporate Questionnaire (9.2), (9.2.8), (9.2.10)",Environmental
Water withdrawal,"Pages 18, 37; CDP Corporate Questionnaire (9.2.2), (9.2.4), (9.2.6), (9.2.7)",Environmental
Water discharge,"Pages 18, 37; CDP Corporate Questionnaire (9.2.2), (9.2.8)",Environmental
Water consumption,"Pages 18, 37; CDP Corporate Questionnaire (9.2.2)",Environmental
"Significant impacts of activities, products and services on biodiversity",Pages 20-23,Environmental
Habitats protected or restored,Pages 20-23; CDP Corporate Questionnaire (8.17),Environmental
Natural ecosystem conversion,"Page 21; CDP Corporate Questionnaire (8.7), (8.7.1), (8.7.2), (8.9), (8.9.1), (8.9.2), (8.10.1)",Environmental
Soil management plan,Page 22; 2024 Regenerative Agriculture Report,Environmental
Pesticides use,Page 23,Environmental
Direct (Scope 1) GHG emissions,"Pages 15-16, 37; CDP Corporate Questionnaire (6.1), (7.2), (7.3), (7.4), (7.4.1)",Environmental
Energy indirect (Scope 2) GHG emissions,"Pages 15-16, 37; CDP Corporate Questionnaire (6.1), (7.2), (7.3), (7.4), (7.4.1)",Environmental
Other indirect (Scope 3) GHG emissions,"Pages 15-16, 37; CDP Corporate Questionnaire (6.1), (7.2), (7.3), (7.4), (7.4.1)",Environmental
Reduction of GHG emissions,"Pages 14-17, 37; CDP Corporate Questionnaire (7.53)",Environmental
Management of significant waste-related impacts,Page 19,Environmental
Waste diverted from disposal,Page 19,Environmental
Supply chain traceability,Pages 21-22,Environmental
Occupational health and safety management system,"Page 26; CDP Corporate Questionnaire (8.8), (8.8.1), (8.9), (8.9.1), (8.9.2), (8.9.3), (8.9.4)",Social
Occupational health services,Page 26,Social
Worker training on health,Page 26; 2024 Form 10-K page 14,Social
Promotion of worker health,Page 26,Social
Work-related injuries,Page 26; 2025 Proxy Statement page 6,Social
Diversity of governance bodies and employees,2025 Proxy Statement pages 4-5; 2024 Form 10-K page 13,Social
Operations and suppliers at significant risk for incidents of child labor,Pages 28-29; Supply Chain Due Diligence Report; Modern Slavery Statement,Social
Operations and suppliers at significant risk for incidents of forced or compulsory labor,Pages 28-29; Supply Chain Due Diligence Report; Modern Slavery Statement,Social
"Incidents of violations involving rights on indigenous peoples, including description of identified incidents of violations",ADM Grievances Log,Social
"Number, size in hectares, and location of operations where violations of land and natural resource rights (including customary, collective, and informal tenure rights) occurred and the groups of rightsholders affected",ADM Grievances Log; 2024 Soy Progress Report,Social
"Operations with local community engagement, impact assessments, and development programs",Pages 28-31,Social
Food security,"Pages 22, 30-31; Policy to Protect Forests, Biodiversity, and Communities",Social
Land and resource rights,ADM Grievances Log,Social
Negative social impacts in the supply chain and actions taken,Pages 28-31,Social
Policies or commitments regarding recruitment of workers,"Pages 12, 28-29; Supply Chain Due Diligence Report; Modern Slavery Statement",Social
Political contributions,U.S. Political Contributions and Advocacy,Governance
Incidents of non-compliance concerning the health and safety impacts of products and services,Page 27,Social
Gross global Scope 1 emissions,"Page 37; CDP Corporate Questionnaire (6.1), (7.2), (7.4.1)",Environmental
"Fleet fuel consumed, percentage renewable","2024 Form 10-K page 11; 7,050,000 GJ; 13%",Environmental
"(1) Operational energy consumed, (2) percentage grid electricity, (3) percentage renewable",CDP Corporate Questionnaire (7.30.1),Environmental
"(1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or Extremely High Baseline Water Stress","CDP Corporate Questionnaire (9.2.2), (9.2.4)",Environmental
"Number of incidents of non-compliance associated with water quality permits, standards, and regulations",CDP Corporate Questionnaire (3.3),Environmental
Suppliers' social and environmental responsibility audit (1) non-conformance rate and (2) associated corrective action rate for (a) major and (b) minor non-conformances,ADM Grievances Log,Social
Board's oversight of climate-related risks and opportunities.,Page 33,Governance
Management's role in assessing and managing climate-related risks and opportunities.,Page 33,Governance
"Scope 1, Scope 2, and, if appropriate, Scope 3 greenhouse gas (GHG) emissions, and the related risks.","Pages 15-16, 37",Environmental
