metric_name,value,unit,year,category,source
Sustainable use of forest-based resources,100,%,2030,Environmental,Ingredion 2024 Sustainability Report.pdf - page 6
Sustainable sourcing of global waxy corn supply,100,%,2022,Environmental,Ingredion 2024 Sustainability Report.pdf - page 7
Sustainable sourcing of Tier 1 priority crops,100,%,2025,Environmental,Ingredion 2024 Sustainability Report.pdf - page 7
Water conservation projects with growers in extremely high water-stressed sourcing geographies,100,%,2025,Environmental,Ingredion 2024 Sustainability Report.pdf - page 7
Agricultural supply not using pesticides of concern,100,%,2025,Environmental,Ingredion 2024 Sustainability Report.pdf - page 7
Growers and/or implement integrated pest management in agricultural supply chain,70,%,2027,Environmental,Ingredion 2024 Sustainability Report.pdf - page 7
Sustainable sourcing of Tier 1 and 2 priority crops,100,%,2030,Environmental,Ingredion 2024 Sustainability Report.pdf - page 7
Product or supply chain initiatives in support of plant-based or alternative proteins,5,initiatives,2025,Environmental,Ingredion 2024 Sustainability Report.pdf - page 7
Projects with customers and/or suppliers to minimize food waste,5,projects,2025,Environmental,Ingredion 2024 Sustainability Report.pdf - page 7
Agricultural efficiency initiatives in support of smallholder farmers,100,%,2027,Environmental,Ingredion 2024 Sustainability Report.pdf - page 7
Community Impact in Countries,10,countries,2028,Social,Ingredion 2024 Sustainability Report.pdf - page 8
Volunteer Time per Employee,2,hours,2030,Social,Ingredion 2024 Sustainability Report.pdf - page 8
Community Impact Projects,2,x (vs 2025),2030,Social,Ingredion 2024 Sustainability Report.pdf - page 8
CSRD Compliance,In Progress,,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 9
CSRD Reporting Target Year,2028,,2027,Governance,Ingredion 2024 Sustainability Report.pdf - page 9
Stakeholder Engagement,Ongoing,,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 9
Gap Assessments,Ongoing,,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 9
Double Materiality Assessment,Ongoing,,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 9
Employee Recordable Incidence Rate,0.31,,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 11
Contractor Recordable Incidence Rate,0.12,,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 11
Employee Recordable Incidence Rate,0.19,,2023,Social,Ingredion 2024 Sustainability Report.pdf - page 11
Contractor Recordable Incidence Rate,0.18,,2023,Social,Ingredion 2024 Sustainability Report.pdf - page 11
Employee Recordable Incidence Rate,0.33,,2022,Social,Ingredion 2024 Sustainability Report.pdf - page 11
Contractor Recordable Incidence Rate,0.28,,2022,Social,Ingredion 2024 Sustainability Report.pdf - page 11
Employee Recordable Incidence Rate,0.32,,2021,Social,Ingredion 2024 Sustainability Report.pdf - page 11
Contractor Recordable Incidence Rate,0.18,,2021,Social,Ingredion 2024 Sustainability Report.pdf - page 11
Employee Recordable Incidence Rate,0.28,,2020,Social,Ingredion 2024 Sustainability Report.pdf - page 11
Contractor Recordable Incidence Rate,0.22,,2020,Social,Ingredion 2024 Sustainability Report.pdf - page 11
Employee Recordable Incidence Rate,0.27,,2019,Social,Ingredion 2024 Sustainability Report.pdf - page 11
Contractor Recordable Incidence Rate,0.23,,2019,Social,Ingredion 2024 Sustainability Report.pdf - page 11
EHS&S Software Implementation,1,program,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 12
Streamlined Site EHS&S Processes,73,%,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 12
Facilities with Zero Injuries,89,%,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 12
Non-manufacturing Sites Injury Free,100,%,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 12
Manufacturing Facilities with No Lost-Time Cases (5 Years),6,facilities,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 12
Manufacturing Facilities with No Lost-Time Cases (1 Year),4,facilities,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 12
Years Since Lost Time Case,12,years,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 12
Product recalls,13,count,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 13
Product recalls reaching consumers,1,count,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 13
First pass compliance,98.38,%,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 13
Suppliers audited,0.5,%,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 14
EcoVadis Score,55,score,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 15
EcoVadis Score,55,score,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 15
EcoVadis Score,55,score,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 15
EcoVadis Score,51,score,2023,Environmental,Ingredion 2024 Sustainability Report.pdf - page 15
EcoVadis Score,51,score,2023,Social,Ingredion 2024 Sustainability Report.pdf - page 15
EcoVadis Score,51,score,2023,Governance,Ingredion 2024 Sustainability Report.pdf - page 15
Global Child Forum Score,7.5,score,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 15
Global Child Forum Score,6.9,score,,Social,Ingredion 2024 Sustainability Report.pdf - page 15
Employee Training Completion Rate,85,%,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 15
Mentoring program participants,273,participants,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 16
Global Inclusion Week,1,event,2023,Social,Ingredion 2024 Sustainability Report.pdf - page 16
Global Inclusion Week,1,event,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 16
Female participants,57,%,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 16
U.S. participants identified as ethnically or racially diverse,40,%,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 16
Mentoring experience rating,9,/10,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 16
Employees in planning team,200,employees,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 16
BRG Membership,22.5,%,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 17
Members,392,members,2017,Social,Ingredion 2024 Sustainability Report.pdf - page 18
Members,803,members,2019,Social,Ingredion 2024 Sustainability Report.pdf - page 18
Members,253,members,2021,Social,Ingredion 2024 Sustainability Report.pdf - page 18
Members,133,members,2022,Social,Ingredion 2024 Sustainability Report.pdf - page 18
Members,1036,members,2017,Social,Ingredion 2024 Sustainability Report.pdf - page 18
Members,260,members,2019,Social,Ingredion 2024 Sustainability Report.pdf - page 18
Members,271,members,2021,Social,Ingredion 2024 Sustainability Report.pdf - page 18
Members,183,members,2022,Social,Ingredion 2024 Sustainability Report.pdf - page 18
Members,1163,members,2022,Social,Ingredion 2024 Sustainability Report.pdf - page 18
Psychological Safety Training Coverage,100,%,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 19
Psychological Safety Training Coverage,Expansion to other regions,plan,2025,Social,Ingredion 2024 Sustainability Report.pdf - page 19
Supplier Diversity Spend (U.S.),4.9,%,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 20
Supplier Diversity Spend (U.S.),5.3,%,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 20
Supplier Diversity Spend (U.S.),2.3,%,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 20
Supplier Diversity Spend (U.S.),0.9,%,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 20
Supplier Diversity Spend (U.S.),51.8,%,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 20
Supplier Diversity Spend (U.S.),14.3,%,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 20
Supplier Diversity Spend (U.S.),3.0,%,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 20
Supplier Diversity Spend (U.S.),3.8,%,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 20
Supplier Diversity Spend (U.S.),13.8,%,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 20
Supplier Diversity Spend (U.S.),25,,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 20
Supplier Spend,1163434,$,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 20
Supplier Spend,1272864,$,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 20
Supplier Spend,547464,$,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 20
Supplier Spend,223343,$,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 20
Supplier Spend,12333697,$,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 20
Supplier Spend,23.8,M+,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 20
Supplier Spend,3397518,$,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 20
Supplier Spend,703919,$,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 20
Supplier Spend,894637,$,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 20
Supplier Spend,3285681,$,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 20
Carbon Footprint Reduction,N/A,N/A,N/A,Environmental,Ingredion 2024 Sustainability Report.pdf - page 21
Water Footprint Reduction,N/A,N/A,N/A,Environmental,Ingredion 2024 Sustainability Report.pdf - page 21
carbon footprint,50,%,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 22
Consumer satisfaction with texture,79,%,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 23
Sustainable Agriculture Initiative (SAI) Platform's Farm Sustainability Assessment (FSA),N/A,N/A,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 24
Reduce starch consumption,N/A,N/A,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 24
Reduce chemicals consumption,N/A,N/A,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 24
Reduce liquid adhesive consumption,N/A,N/A,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 24
Animal Testing Restriction,Compliant,,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 25
Scope 1 and 2 emissions reduction,significant,magnitude,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 26
Biogas utilization,70,%,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 26
"Carbon Capture, Sequestration and Utilization",10,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 27
STBi Scopes 1 and 2 GHG reduction goal,,,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 27
Sustainably Sourced Tier 1 Crops,85,%,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 28
Acres of Crops in Regenerative Programs,74000,acres,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 28
Renewable electricity,32,%,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 29
Water consumption increase,2,%,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 29
Plants Achieving Zero Waste to Landfill,17,plants,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 30
Waste Diverted from Landfills or Incineration,92,%,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 30
Reduction in Solid Waste to Landfill,75,%,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 30
Plastic packaging material usage,13500,MT,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 31
Reduction in plastic waste projects completed,32,projects,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 31
Reduction in plastic waste,150,kg,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 31
COD intensity reduction,1,%,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 31
COD reduction,42,%,2019,Environmental,Ingredion 2024 Sustainability Report.pdf - page 31
Biodiversity impact,not identified,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 32
Sustainable agriculture (% FSA validation),,%,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 33
FSA-identified deforestation consideration,,,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 33
Regenerative agriculture implementation,,,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 33
Pesticides of Concern use,,,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 33
Integrated Pest Management use,,,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 33
Water risk rating,,,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 33
Site water use intensity,,,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 33
Site wastewater treatment operations,,,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 33
Site Chemical Oxygen Demand (COD) reduction,,,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 33
Non-Government Organization (NGO) engagement,,,,Social,Ingredion 2024 Sustainability Report.pdf - page 33
Customer engagement,,,,Social,Ingredion 2024 Sustainability Report.pdf - page 33
Deforestation,85,%,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 34
Shared Sustainable Value,45,,,Social,Ingredion 2024 Sustainability Report.pdf - page 35
Sustainably sourced crops,85,%,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 36
Sustainably sourced Waxy corn,85.75,%,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 36
FSA Silver for stevia leaf supply,100,%,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 36
sustainable volumes in Thailand,79,%,2023,Environmental,Ingredion 2024 Sustainability Report.pdf - page 37
sustainable volumes in Thailand,90,%,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 37
FSA Gold status on total sourcing,34,%,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 37
sustainable sourcing,97,%,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 37
sustainable volumes,65,%,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 37
grower engagement,30,%,2023,Social,Ingredion 2024 Sustainability Report.pdf - page 37
grower engagement,18,%,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 37
sustainable sourcing,47,%,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 37
Regenerative agriculture acreage,74000,acres,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 38
Gum Acacia Sourcing History,20,years,2023,Environmental,Ingredion 2024 Sustainability Report.pdf - page 39
Blue water usage reduction,6,%,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 40
Carbon footprint reduction,47,%,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 40
Consumer preference increase,5,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 40
Upcycled products certified,50,products,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 41
Tier 1 priority crops sourced from small holder farmers,100,%,,Social,Ingredion 2024 Sustainability Report.pdf - page 41
Food Waste Reduction,SIDEAID project,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 42
Food Waste Reduction,Pacto por la Comida initiative,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 42
Community Impact Strategy,Strengthening,,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 43
People facing hunger,733,million,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 44
Food insecure individuals,2.33,billion,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 44
Annual growth of food collected,110,%,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 44
Kilograms of food collected,11856,kilograms,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 44
Employees participating in Grow-A-Row,85,employees,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 45
Servings provided to food banks,28000,servings,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 45
Pounds of potatoes harvested,2000,pounds,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 45
Pounds of corn harvested,57000,pounds,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 45
Individuals reached through digital bakery school,25000,bakeries,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 45
STEM Education Support,1,program,2023,Social,Ingredion 2024 Sustainability Report.pdf - page 46
Employee Involvement in Mentoring,1,partnership,2023,Social,Ingredion 2024 Sustainability Report.pdf - page 46
Bring Your Child to Work Day,1,event,2023,Social,Ingredion 2024 Sustainability Report.pdf - page 46
Commitment to Highest Standards,57,unit,,Governance,Ingredion 2024 Sustainability Report.pdf - page 47
EcoVadis Score,55,score,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 48
EcoVadis Score,70,score,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 48
EcoVadis Score,61,score,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 48
Sustainability Reporting Steering Committee,1,committee,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 49
Audit Committee,Independent directors,,,Governance,Ingredion 2024 Sustainability Report.pdf - page 50
Risk Management Oversight,Primary responsibility,,,Governance,Ingredion 2024 Sustainability Report.pdf - page 50
Ethical and Legal Standards Compliance,Highest standards,,,Governance,Ingredion 2024 Sustainability Report.pdf - page 50
Human resource and labor matters oversight,Oversees,,,Social,Ingredion 2024 Sustainability Report.pdf - page 50
Executive and director compensation issues oversight,Oversees,,,Social,Ingredion 2024 Sustainability Report.pdf - page 50
Risk Assessment and Management Reporting,Regular reports,,,Governance,Ingredion 2024 Sustainability Report.pdf - page 50
Corporate Governance Practices Oversight,Oversight provided,,,Governance,Ingredion 2024 Sustainability Report.pdf - page 50
Business Integrity Program Oversight,Oversight provided,,,Governance,Ingredion 2024 Sustainability Report.pdf - page 50
Carbon emissions reductions,progress,,This year,Environmental,Ingredion 2024 Sustainability Report.pdf - page 51
Safety performance,progress,,This year,Social,Ingredion 2024 Sustainability Report.pdf - page 51
Sustainable sourcing,progress,,This year,Environmental,Ingredion 2024 Sustainability Report.pdf - page 51
Anti-Bribery and Corruption Policies,strict,policies,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 52
Employee training,required,training,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 52
Languages of Code of Conduct,12,languages,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 52
Training Completion Rate,98,%,,Governance,Ingredion 2024 Sustainability Report.pdf - page 53
Most Ethical Companies,11,times,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 54
Business Ethics Line availability,24/7,,,Governance,Ingredion 2024 Sustainability Report.pdf - page 54
Business Ethics Line languages,12,languages,,Governance,Ingredion 2024 Sustainability Report.pdf - page 54
Named to Barron’s 100 Most Sustainable US Companies list,1,time,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 55
Reporting period,2024,year,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 56
Frequency of reporting,annually,,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 56
Governance structure and composition,Ingredion Incorporated Corporate Governance Principles,,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 57
Nomination and selection of the highest governance body,Ingredion Incorporated Governing and Nominating Committee Charter,,,Governance,Ingredion 2024 Sustainability Report.pdf - page 57
Chair of the highest governance body,Board of Directors,,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 57
Role of the highest governance body in overseeing the management of impacts,Ingredion engages with stakeholders,,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 57
Delegation of responsibility for managing impacts,Governance and Nominating Committee of the Board of Directors has oversight responsibility for sustainability,,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 57
Role of the highest governance body in sustainability reporting guidance,Ingredion’s Global Sustainability Council operates under the guidance of the Governance and Nominating Committee of the Board of Directors,,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 57
Conflicts of interest,Code of Conduct,,,Governance,Ingredion 2024 Sustainability Report.pdf - page 57
Communication of critical concerns,Yes,,,Governance,Ingredion 2024 Sustainability Report.pdf - page 58
Collective knowledge of the highest governance body,Yes,,,Governance,Ingredion 2024 Sustainability Report.pdf - page 58
Evaluation of the performance of the highest governance body,Yes,,,Governance,Ingredion 2024 Sustainability Report.pdf - page 58
Remuneration policies,Yes,,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 58
Process to determine remuneration,Yes,,,Governance,Ingredion 2024 Sustainability Report.pdf - page 58
Annual total compensation ratio,Yes,,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 58
Statement on sustainable development,,,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 59
Policy commitments,,,,Governance,Ingredion 2024 Sustainability Report.pdf - page 59
Embedding policy commitments,,,,Governance,Ingredion 2024 Sustainability Report.pdf - page 59
Processes to remediate negative impacts,,,,Governance,Ingredion 2024 Sustainability Report.pdf - page 59
Mechanisms for seeking advice and raising concerns,,,,Governance,Ingredion 2024 Sustainability Report.pdf - page 59
Compliance with laws and regulations,,,,Governance,Ingredion 2024 Sustainability Report.pdf - page 59
Membership associations,,,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 59
Collective bargaining agreements,45,%,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 60
Direct economic value generated and distributed,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 61
Financial implications and other risks and opportunities due to climate change,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 61
Defined benefit plan obligations and other retirement plans,,,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 61
Infrastructure investments and services supported,,,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 61
Significant indirect economic impacts,,,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 61
Proportion of spending on local suppliers,Data not available,N/A,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 62
Operations assessed for risks related to corruption,Yes,Boolean,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 62
Communication and training about anti-corruption policies and procedures,Yes,Boolean,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 62
"Legal action for anti-competitive behavior, anti-trust and monopoly practices",0,Count,2024,Governance,Ingredion 2024 Sustainability Report.pdf - page 62
Energy consumption within the organization,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 63
Energy consumption within the organization,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 63
Energy intensity,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 63
Reduction in energy consumption,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 63
Reduction in energy requirements of products and services,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 63
Water withdrawal by source,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 64
Water sources significantly impacted by withdrawal of water,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 64
Water recycled and reused,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 64
Water consumption,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 64
"Operational sites owned, leased, managed in or adjacent to protected areas and areas of high biodiversity value outside protected areas",,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 64
"Significant impacts of activities, products and services on biodiversity",,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 64
Habitats protected or restored,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 64
IUCN Red List species and national conservation list species with habitats in areas impacted by operations,,,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 64
Direct (Scope 1) GHG emissions,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 65
Energy indirect (Scope 2) GHG emissions,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 65
Other indirect (Scope 3) GHG emissions,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 65
GHG emission intensity,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 65
Reductions of GHG emissions,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 65
Emissions of Ozone Depleting Substances (ODS),,,,Environmental,Ingredion 2024 Sustainability Report.pdf - page 65
Waste generation and significant waste-related impacts,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 65
Management of significant waste-related impacts,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 65
Waste generated,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 65
Waste diverted from disposal,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 65
Waste directed to disposal,,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 65
New suppliers that were screened using environmental criteria,2024,,2024,Environmental,Ingredion 2024 Sustainability Report.pdf - page 66
Benefits provided to full-time employees that are not provided to temporary or part-time employees,Varies by country and region,,,Social,Ingredion 2024 Sustainability Report.pdf - page 66
Parental leave,Varies by country and region,,,Social,Ingredion 2024 Sustainability Report.pdf - page 66
Minimum notice period regarding operational changes,Varies,,,Social,Ingredion 2024 Sustainability Report.pdf - page 66
Occupational health and safety management system implementation,Yes,Boolean,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 67
"Hazard identification, risk assessment and incident investigation",Implemented,Qualitative,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 67
"Worker participation, consultation and communication on occupational health and safety",Yes,Boolean,2024,Social,Ingredion 2024 Sustainability Report.pdf - page 67
