metric_name,value,unit,year,category,source
Water withdrawal,115.4,million cubic meters,2023,Environmental,ADM-2024-sustainability.pdf - page 18
Water withdrawal,111.3,million cubic meters,2024,Environmental,ADM-2024-sustainability.pdf - page 18
Water withdrawal reduction,3.6,%,2024,Environmental,ADM-2024-sustainability.pdf - page 18
Water savings from projects,1340000,m3,2024,Environmental,ADM-2024-sustainability.pdf - page 18
Potential water savings (Cedar Rapids),1000000,m3,2024,Environmental,ADM-2024-sustainability.pdf - page 18
"Water savings (Valdosta, Rondonópolis, Uberlandia)",58000,m3,2024,Environmental,ADM-2024-sustainability.pdf - page 18
Water usage reduction (Windsor),14000,m3,2024,Environmental,ADM-2024-sustainability.pdf - page 18
Landfill Diversion,90,%,2024,Environmental,ADM-2024-sustainability.pdf - page 19
Landfill Diversion,100.0,%,2024,Environmental,ADM-2024-sustainability.pdf - page 19
Landfill Diversion,75.0,%,2019,Environmental,ADM-2024-sustainability.pdf - page 19
Landfill Diversion,81.2,%,2023,Environmental,ADM-2024-sustainability.pdf - page 19
Landfill Diversion,86.1,%,2024,Environmental,ADM-2024-sustainability.pdf - page 19
Increase over baseline,7.2,%,2024,Environmental,ADM-2024-sustainability.pdf - page 19
Biodiversity,Maximizing,,,Environmental,ADM-2024-sustainability.pdf - page 20
Biodiversity,Protecting,,,Environmental,ADM-2024-sustainability.pdf - page 20
Biodiversity,Conserving,,,Environmental,ADM-2024-sustainability.pdf - page 20
Soil health,Improving,,,Environmental,ADM-2024-sustainability.pdf - page 20
Water quality,Improving,,,Environmental,ADM-2024-sustainability.pdf - page 20
Forests,Protecting,,,Environmental,ADM-2024-sustainability.pdf - page 20
Soil disturbance,Minimizing,,,Environmental,ADM-2024-sustainability.pdf - page 20
Farmer health,Protecting,,,Social,ADM-2024-sustainability.pdf - page 20
Local economic development,Supporting,,,Social,ADM-2024-sustainability.pdf - page 20
Inputs management,Responsibly managing,,,Environmental,ADM-2024-sustainability.pdf - page 20
No-deforestation policy establishment,2015,,,Environmental,ADM-2024-sustainability.pdf - page 21
Deforestation elimination target,2030,,,Environmental,ADM-2024-sustainability.pdf - page 21
Accelerated deforestation elimination target,"December 31, 2025",,,Environmental,ADM-2024-sustainability.pdf - page 21
No conversion of primary native vegetation - direct supply chains,2025,end of,,Environmental,ADM-2024-sustainability.pdf - page 21
No conversion of primary native vegetation - indirect supply chains,2027,end of,,Environmental,ADM-2024-sustainability.pdf - page 21
Regenerative agriculture acres,5000000,acres,2024,Environmental,ADM-2024-sustainability.pdf - page 22
Scope 3 GHG footprint reduction,1000000,metric tons of CO2e,2024,Environmental,ADM-2024-sustainability.pdf - page 22
Carbon sequestered,363000,metric tons of CO2e,2024,Environmental,ADM-2024-sustainability.pdf - page 22
Regenerative agriculture acres (North America),4700000,acres,2024,Environmental,ADM-2024-sustainability.pdf - page 22
Regenerative agriculture acres (EMEA),80000,acres,2024,Environmental,ADM-2024-sustainability.pdf - page 22
Regenerative agriculture acres (South America),24000,acres,2024,Environmental,ADM-2024-sustainability.pdf - page 22
Regenerative agriculture acres (South America),61000,acres,2024,Environmental,ADM-2024-sustainability.pdf - page 22
Regenerative agriculture acres (APAC),90000,acres,2024,Environmental,ADM-2024-sustainability.pdf - page 22
Canola Sourced from Programs Focusing on Pesticide Management,3810000,METRIC TONS,2024,Environmental,ADM-2024-sustainability.pdf - page 23
Corn Sourced from Programs Focusing on Pesticide Management,10700000,METRIC TONS,2024,Environmental,ADM-2024-sustainability.pdf - page 23
Cotton Sourced from Programs Focusing on Pesticide Management,54700,METRIC TONS,2024,Environmental,ADM-2024-sustainability.pdf - page 23
Palm Sourced from Programs Focusing on Pesticide Management,236000,METRIC TONS,2024,Environmental,ADM-2024-sustainability.pdf - page 23
Peanuts Sourced from Programs Focusing on Pesticide Management,309000,METRIC TONS,2024,Environmental,ADM-2024-sustainability.pdf - page 23
Sorghum Sourced from Programs Focusing on Pesticide Management,34900,METRIC TONS,2024,Environmental,ADM-2024-sustainability.pdf - page 23
Soybeans Sourced from Programs Focusing on Pesticide Management,4760000,METRIC TONS,2024,Environmental,ADM-2024-sustainability.pdf - page 23
Sunflower Sourced from Programs Focusing on Pesticide Management,37000,METRIC TONS,2024,Environmental,ADM-2024-sustainability.pdf - page 23
Wheat Sourced from Programs Focusing on Pesticide Management,1560000,METRIC TONS,2024,Environmental,ADM-2024-sustainability.pdf - page 23
Other Sourced from Programs Focusing on Pesticide Management,52900,METRIC TONS,2024,Environmental,ADM-2024-sustainability.pdf - page 23
Farmers providing pesticide data in the U.S.,3000,farmers,2024,Environmental,ADM-2024-sustainability.pdf - page 23
"Culture, Engagement, & Inclusion",,,,Social,ADM-2024-sustainability.pdf - page 24
Health & Safety,,,,Social,ADM-2024-sustainability.pdf - page 24
Food Safety and Quality,,,,Social,ADM-2024-sustainability.pdf - page 24
Human Rights,,,,Social,ADM-2024-sustainability.pdf - page 24
Community Engagement & Global Impact,,,,Social,ADM-2024-sustainability.pdf - page 24
Employee Count,44000,employees,,Social,ADM-2024-sustainability.pdf - page 25
Sites with Zero Injuries,75,%,2024,Social,ADM-2024-sustainability.pdf - page 26
Sites with Zero Lost-Workday Injuries,89,%,2024,Social,ADM-2024-sustainability.pdf - page 26
Tier 1 and 2 process safety incidents reduction,31,%,2024,Environmental,ADM-2024-sustainability.pdf - page 26
Total Recordable Incident Rate (TRIR),0.69,incidents per 100 employees,2024,Social,ADM-2024-sustainability.pdf - page 26
Lost Workday Incident Rate (LWIR),0.23,incidents per 100 employees,2024,Social,ADM-2024-sustainability.pdf - page 26
Colleague fatalities,1,count,2024,Social,ADM-2024-sustainability.pdf - page 26
Serious injuries,9,count,2024,Social,ADM-2024-sustainability.pdf - page 26
GFSI Certified Sites,330,sites,2024,Environmental,ADM-2024-sustainability.pdf - page 27
Human Rights Risk Assessment,Conducted,N/A,N/A,Social,ADM-2024-sustainability.pdf - page 28
Salient Risks Identified,"Child Labor, Forced Labor, Gender, Health & Safety, Discrimination, Impacts on Just Transition in Living Wages, Communities, Agriculture",N/A,N/A,Social,ADM-2024-sustainability.pdf - page 28
Sites registered on Sedex,115,sites,2024,Social,ADM-2024-sustainability.pdf - page 29
Suppliers linked on Sedex,900,suppliers,2024,Social,ADM-2024-sustainability.pdf - page 29
ADM entities evaluated through EcoVadis assessments,30,entities,2024,Social,ADM-2024-sustainability.pdf - page 29
Human rights risk assessment,1,assessment,2024,Social,ADM-2024-sustainability.pdf - page 29
Colleague Volunteering,8500,hours,2024,Social,ADM-2024-sustainability.pdf - page 30
ADM Cares Spending,15.6,million,2024,Social,ADM-2024-sustainability.pdf - page 30
Funding from ADM Cares,10000000,USD,2011,Social,ADM-2024-sustainability.pdf - page 31
Number of extension workers trained,51,workers,2024,Social,ADM-2024-sustainability.pdf - page 31
Female farmers impacted,1950,farmers,2024,Social,ADM-2024-sustainability.pdf - page 31
Farmer groups starting new income-generating activities,76,%,2024,Social,ADM-2024-sustainability.pdf - page 31
Extension workers facilitating goal-setting activities,92,%,2024,Social,ADM-2024-sustainability.pdf - page 31
Women surveyed in oil palm industry,600,women,2024,Social,ADM-2024-sustainability.pdf - page 31
Strategy and Oversight,,,,Governance,ADM-2024-sustainability.pdf - page 32
Compliance and Ethics,,,,Governance,ADM-2024-sustainability.pdf - page 32
GHG emission goals,,,,Environmental,ADM-2024-sustainability.pdf - page 33
water reuse goals,,,,Environmental,ADM-2024-sustainability.pdf - page 33
Recognition as one of the World’s Most Ethical Companies,1,time,2025,Governance,ADM-2024-sustainability.pdf - page 34
Consecutive years recognized as World’s Most Ethical Companies,6,years,2025,Governance,ADM-2024-sustainability.pdf - page 34
Code of Conduct Modernization,1,time,2024,Governance,ADM-2024-sustainability.pdf - page 34
Anti-Corruption Program Enhancement,1,time,2024,Governance,ADM-2024-sustainability.pdf - page 34
Enhancements to expense report procedures,1,time,2024,Governance,ADM-2024-sustainability.pdf - page 34
Compliance program enhancements implementation start,1,time,2024,Governance,ADM-2024-sustainability.pdf - page 34
Training Completion Rate,99,%,2024,Social,ADM-2024-sustainability.pdf - page 35
Facilitator-led training sessions,216,sessions,2024,Social,ADM-2024-sustainability.pdf - page 35
Colleagues Trained in Sessions,8000,colleagues,2024,Social,ADM-2024-sustainability.pdf - page 35
Reports Received,1632,reports,2024,Social,ADM-2024-sustainability.pdf - page 35
Third Party Compliance Audits,15,audits,2024,Governance,ADM-2024-sustainability.pdf - page 35
Virtual Compliance Training Sessions,12,sessions,2024,Governance,ADM-2024-sustainability.pdf - page 35
Attendees in Virtual Compliance Training Sessions,400,attendees,2024,Governance,ADM-2024-sustainability.pdf - page 35
GRI Content Index,,,,Governance,ADM-2024-sustainability.pdf - page 36
SASB Standards,,,,Governance,ADM-2024-sustainability.pdf - page 36
TCFD,,,,Governance,ADM-2024-sustainability.pdf - page 36
Scope 1 GHG Emissions,12300000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Scope 1 - Stationary Combustion,11700000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Scope 1 - Mobile Combustion,515000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Scope 1 - Fugitive Emissions,25600,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Scope 1 - Process Emissions,12700,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Scope 2 (Market-based) GHG Emissions,2150000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Scope 2 (Location-based) GHG Emissions,2070000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Scope 3 GHG Emissions,114100000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Biogenic Emissions,4350000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Total GHG Emissions,53200000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Biogenic - Combustion,1210000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Biogenic - Process,3490000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
CO2 Emissions,12100000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
N2O Emissions,68100,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
CH4 Emissions,4100,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
SF6 Emissions,1760,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
HFC Emissions,21800,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
PFC Emissions,0,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
HCFC Emissions,2050,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Scope 1 - APAC,71700,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Scope 2 - APAC,109000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Total - APAC,181000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Scope 1 - EMEA,948000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Scope 2 - EMEA,277000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Total - EMEA,1220000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Scope 1 - LATAM,130000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Scope 2 - LATAM,48900,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Total - LATAM,179000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Scope 1 - North America,11100000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Scope 2 - North America,1720000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Total - North America,12800000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Scope 1 - International,13700,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Scope 2 - International,0,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Total - International,13700,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Renewable Fuel Consumption,3340000,MWh,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Non-renewable Fuel Consumption,44800000,MWh,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Purchased Electricity Consumption,4840000,MWh,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Purchased Steam Consumption,562000,MWh,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Sold Electricity Consumption,262000,MWh,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Water Withdrawal from Groundwater,39500000,m3,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Water Withdrawal from Surface,30600000,m3,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Water Withdrawal from Municipal,41100000,m3,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Water Discharge to Groundwater,405000,m3,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Water Discharge to Other,405000,m3,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Water Discharge to Surface,32900000,m3,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Water Discharge to Once-Through-Cooling (Surface),203000000,m3,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Category 1: Purchased Goods and Services,95000000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Category 1: Land-Based Removals,363000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Category 2: Capital Goods,177000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Category 3: Fuel-and-Energy-Related Activities,1850000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Category 4: Upstream Transportation,7480000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Category 5: Waste Generated in Operations,241000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Category 10: Processing of Sold Goods,9750000,mtCOe,2024,Environmental,ADM-2024-sustainability.pdf - page 37
Reporting period,"January 1, 2024, to December 31, 2024",,2024,Governance,ADM-2024-sustainability.pdf - page 41
Publication date of the report,"May 28, 2025",,2025,Governance,ADM-2024-sustainability.pdf - page 41
Delegation of responsibility for managing impacts,,,,Governance,ADM-2024-sustainability.pdf - page 42
Role of the highest governance body in sustainability reporting,,,,Governance,ADM-2024-sustainability.pdf - page 42
Conflicts of interest,,,2025,Governance,ADM-2024-sustainability.pdf - page 42
Communication of critical concerns,,,2025,Governance,ADM-2024-sustainability.pdf - page 42
Collective knowledge of the highest governance body,,,2025,Governance,ADM-2024-sustainability.pdf - page 42
Evaluation of the performance of the highest governance body,,,2025,Governance,ADM-2024-sustainability.pdf - page 42
Remuneration policies,,,2025,Governance,ADM-2024-sustainability.pdf - page 42
Remuneration policies,,,2024,Governance,ADM-2024-sustainability.pdf - page 42
Process to determine remuneration,,,2025,Governance,ADM-2024-sustainability.pdf - page 42
Annual total compensation ratio,,,2025,Governance,ADM-2024-sustainability.pdf - page 42
Statement on sustainable development strategy,,,,Governance,ADM-2024-sustainability.pdf - page 42
Policy commitments,,,2025,Governance,ADM-2024-sustainability.pdf - page 42
Policy commitments,,,2024,Governance,ADM-2024-sustainability.pdf - page 42
Embedding policy commitments,,,,Governance,ADM-2024-sustainability.pdf - page 42
Processes to remediate negative impacts,,,,Governance,ADM-2024-sustainability.pdf - page 42
Mechanisms for seeking advice and raising concerns,,,,Governance,ADM-2024-sustainability.pdf - page 42
Compliance with laws and regulations,,,2024,Governance,ADM-2024-sustainability.pdf - page 42
Membership associations,,,,Governance,ADM-2024-sustainability.pdf - page 42
Approach to stakeholder engagement,,,,Governance,ADM-2024-sustainability.pdf - page 42
Process to determine material topics,,,,Governance,ADM-2024-sustainability.pdf - page 42
Material Topics,,,2021,Governance,ADM-2024-sustainability.pdf - page 42
Material Topics,,,2025,Governance,ADM-2024-sustainability.pdf - page 42
